DateTransactionJulian,NameAlpha,State,Orig_Inv_Ttl_Prod_Value
2025-09-06,RITE AID,MI,3268.01
2025-06-28,CVS HEALTH,CA,2317.24
2025-05-17,WALGREENS,OH,4994.57
2024-10-27,MCKESSON CORPORATION,TX,2539.33
2024-12-28,KROGER PHARMACY,TX,3303.07
2025-06-10,AMERISOURCEBERGEN DRUG CORP,MI,1437.36
2025-06-13,MCKESSON CORPORATION,PA,4049.99
2025-06-28,CVS HEALTH,NC,1025.76
2025-07-09,CARDINAL HEALTH,CA,3564.14
2024-11-05,CARDINAL HEALTH,FL,1235.23
2025-10-13,CVS HEALTH,PA,438.76
2025-10-20,CARDINAL HEALTH,FL,3252.54
2025-04-12,RITE AID,CA,207.22
2025-04-18,AMERISOURCEBERGEN DRUG CORP,FL,3876.93
2025-02-12,CVS HEALTH,FL,4400.87
2025-01-01,RITE AID,TX,1779.93
2024-11-14,CARDINAL HEALTH,OH,1149.47
2025-09-17,RITE AID,CA,1323.6
2024-11-23,RITE AID,TX,4377.27
2025-10-04,WALMART PHARMACY,FL,2612.65
2025-02-13,WALMART PHARMACY,OH,3145.38
2025-03-10,RITE AID,OH,3718.14
2024-12-30,WALGREENS,CA,3482.47
2025-02-01,CARDINAL HEALTH,GA,916.17
2025-09-02,WALMART PHARMACY,IL,164.78
2025-07-03,KROGER PHARMACY,GA,4343.54
2025-10-13,AMERISOURCEBERGEN DRUG CORP,FL,1541.14
2025-01-02,KROGER PHARMACY,NY,2244.02
2025-06-11,AMERISOURCEBERGEN DRUG CORP,NY,116.07
2025-02-09,RITE AID,PA,3222.09
2024-11-05,WALGREENS,IL,122.53
2025-03-04,MCKESSON CORPORATION,NY,4736.31
2024-11-09,RITE AID,FL,4626.33
2025-05-04,RITE AID,NC,281.35
2025-04-01,RITE AID,GA,2573.58
2025-10-07,RITE AID,TX,1051.25
2025-07-07,RITE AID,IL,3949.5
2024-11-26,WALMART PHARMACY,CA,156.79
2025-08-22,CVS HEALTH,FL,3807.32
2025-04-11,CVS HEALTH,NY,1866.14
2025-05-03,CVS HEALTH,GA,4844.16
2025-10-19,WALGREENS,CA,2776.28
2024-10-31,WALMART PHARMACY,FL,3529.27
2025-05-16,WALMART PHARMACY,OH,3118.62
2024-11-24,WALGREENS,MI,3238.17
2025-06-29,CVS HEALTH,GA,2713.99
2025-03-28,WALGREENS,IL,2186.03
2025-03-21,MCKESSON CORPORATION,GA,3660.68
2025-01-11,WALMART PHARMACY,GA,3455.32
2025-06-13,MCKESSON CORPORATION,OH,4397.84
